Vanity Fair, ISBN: 6708224799242975320
Intelligent Granite Bench, ISBN: 656971951220002758
Far From the Madding Crowd, ISBN: 6312522378849073080
Synergistic Linen Lamp, ISBN: 680619389819411404
Jesting Pilate, ISBN: 2119907493382682406
Enormous Rubber Watch, ISBN: 4591347437170936675
In Dubious Battle, ISBN: 4418966654526952289
Mediocre Concrete Table, ISBN: 1512125633157783771
A Confederacy of Dunces, ISBN: 2531087321711894323
Small Iron Plate, ISBN: 7490155078845418729

